frame,detected,det_x,det_y,kf_x,kf_y,confidence
277,True,669,432,587,528,0.23292087018489838
278,True,684,416,595,519,0.4110735356807709
279,False,,,580,516,0.0
280,True,710,390,638,460,0.4478980004787445
281,False,,,631,448,0.0
282,False,,,624,437,0.0
283,False,,,618,425,0.0
284,True,755,343,692,380,0.3714353144168854
285,True,763,335,696,376,0.29521825909614563
286,False,,,702,357,0.0
287,True,783,317,737,339,0.21466436982154846
288,False,,,748,318,0.0
289,False,,,759,296,0.0
290,True,810,295,782,295,0.13208641111850739
291,True,820,287,787,292,0.31380200386047363
292,True,827,283,790,290,0.5982213020324707
293,False,,,806,267,0.0
294,False,,,822,244,0.0
295,True,847,267,834,255,0.4924685060977936
296,True,855,264,838,253,0.7379482984542847
297,True,859,259,839,251,0.23283879458904266
298,True,868,258,844,250,0.1580272614955902
299,True,871,255,845,249,0.1522592157125473
300,False,,,865,227,0.0
301,False,,,885,205,0.0
302,False,,,905,183,0.0
303,False,,,925,161,0.0
304,False,,,945,139,0.0
305,False,,,965,117,0.0
306,False,,,985,95,0.0
307,False,,,1005,73,0.0
308,False,,,1025,51,0.0
309,False,,,1045,29,0.0
310,False,,,1064,7,0.0
311,False,,,1084,-14,0.0
312,False,,,1104,-36,0.0
313,False,,,1124,-58,0.0
314,False,,,1144,-80,0.0
315,False,,,1164,-102,0.0
316,False,,,1184,-124,0.0
317,False,,,1204,-146,0.0
318,False,,,1224,-168,0.0
319,False,,,1244,-190,0.0
320,False,,,1264,-212,0.0
321,False,,,1284,-234,0.0
322,False,,,1304,-256,0.0
323,False,,,1324,-278,0.0
324,False,,,1343,-300,0.0
325,False,,,1363,-322,0.0
326,False,,,1383,-344,0.0
327,True,973,216,979,207,0.34116411209106445
328,True,976,211,981,202,0.3328602612018585
329,False,,,983,206,0.0
330,False,,,984,209,0.0
331,False,,,985,212,0.0
332,False,,,987,216,0.0
333,False,,,988,219,0.0
334,False,,,989,223,0.0
335,True,990,171,989,181,0.19007539749145508
336,True,991,169,990,180,0.22887730598449707
337,True,993,164,992,176,0.13691025972366333
338,False,,,993,173,0.0
339,False,,,995,171,0.0
340,False,,,997,169,0.0
341,False,,,998,167,0.0
342,False,,,1000,164,0.0
343,False,,,1002,162,0.0
344,False,,,1003,160,0.0
345,False,,,1005,158,0.0
346,False,,,1006,155,0.0
347,False,,,1008,153,0.0
348,False,,,1010,151,0.0
349,False,,,1011,149,0.0
350,False,,,1013,146,0.0
351,False,,,1014,144,0.0
352,False,,,1016,142,0.0
353,False,,,1018,140,0.0
354,False,,,1019,137,0.0
355,False,,,1021,135,0.0
356,False,,,1022,133,0.0
357,False,,,1024,131,0.0
358,False,,,1026,128,0.0
359,False,,,1027,126,0.0
360,False,,,1029,124,0.0
361,False,,,1031,122,0.0
362,False,,,1032,119,0.0
363,False,,,1034,117,0.0
364,False,,,1035,115,0.0
365,False,,,1037,113,0.0
366,False,,,1039,110,0.0
367,False,,,1040,108,0.0
368,False,,,1042,106,0.0
369,True,902,195,903,194,0.1947692632675171
370,False,,,899,195,0.0
371,True,894,209,896,202,0.13712379336357117
372,False,,,892,204,0.0
373,False,,,888,206,0.0
374,False,,,883,208,0.0
375,False,,,879,210,0.0
376,False,,,875,212,0.0
377,True,868,257,869,245,0.16914725303649902
378,True,860,264,864,250,0.10762500762939453
379,False,,,858,257,0.0
380,True,854,285,856,271,0.7219899296760559
381,True,848,296,853,277,0.3351396322250366
382,True,844,307,851,282,0.366494357585907
383,False,,,844,294,0.0
384,True,833,330,839,308,0.51649409532547
385,True,829,341,837,313,0.19503141939640045
386,True,824,356,835,319,0.5132957100868225
387,True,822,364,834,322,0.2343944013118744
388,False,,,826,339,0.0
389,True,809,399,819,361,0.11785352230072021
390,True,805,415,818,367,0.5946432948112488
391,True,800,426,816,371,0.5027031898498535
392,False,,,806,393,0.0
393,False,,,795,415,0.0
394,True,785,477,791,443,0.6050376892089844
395,True,780,495,788,451,0.3945799171924591
396,True,775,511,786,458,0.4827077388763428
397,False,,,774,488,0.0
398,True,762,551,769,512,0.5045031905174255
399,True,758,572,768,521,0.6142650246620178
400,True,751,593,765,529,0.5896731019020081
401,True,748,608,764,535,0.23858541250228882
402,True,739,638,760,547,0.12128191441297531
403,True,735,656,759,554,0.19986023008823395
404,True,730,679,757,563,0.5660249590873718
405,True,725,702,755,572,0.3069852888584137
406,False,,,739,617,0.0
407,True,713,750,729,665,0.19266656041145325
408,False,,,712,719,0.0
409,False,,,695,773,0.0
410,False,,,677,827,0.0
411,False,,,660,881,0.0
412,False,,,643,935,0.0
413,False,,,626,989,0.0
414,False,,,608,1042,0.0
415,True,665,786,652,842,0.38780677318573
416,True,661,789,649,845,0.3757146894931793
417,True,655,790,644,845,0.40168169140815735
418,False,,,631,876,0.0
419,True,640,794,635,834,0.20674648880958557
420,True,633,799,632,837,0.4617144465446472
421,False,,,619,862,0.0
422,True,618,807,618,840,0.10042472928762436
423,True,614,812,617,842,0.6191955208778381
424,True,607,816,614,843,0.5426028966903687
425,False,,,600,866,0.0
426,False,,,587,888,0.0
427,True,586,835,586,865,0.22667625546455383
428,False,,,573,883,0.0
429,True,589,814,579,856,0.3401493728160858
430,True,608,769,586,839,0.6202064752578735
431,True,619,743,590,829,0.3297589123249054
432,True,630,713,595,817,0.448523610830307
