frame,x,y,z,qw,qx,qy,qz,confidence,valid
51,3.724307621615275,22.171399288149054,1.0,0.4300793686681301,0.4300793686685603,0.561276527088414,0.5612765270882981,1.0,1
52,3.6786043650987805,21.664015192098308,1.0,0.6260402414315132,0.6260402414317398,0.3287450336830993,0.3287450336827705,1.0,1
53,3.6477380480365293,21.5651360153317,1.0,0.6446127417111784,0.6446127417114353,0.2906443056384956,0.2906443056382049,1.0,1
54,3.627440964466284,21.654661295898467,1.0,0.6313997758505902,0.6313997758508255,0.3183300323724658,0.31833003237214746,1.0,1
55,3.635802850812125,22.279748167400033,1.0,0.48781165064618454,0.48781165064667237,0.5118977597787031,0.5118977597786797,1.0,1
56,3.6093977765302756,22.56616110449621,1.0,0.3597985485509552,0.3597985485513151,0.6087238019987299,0.6087238019985318,1.0,1
57,3.573505301255016,22.72879679702796,1.0,0.2950501024584313,0.29505010245872637,0.6426080721062373,0.6426080721059837,1.0,1
58,3.5918866731266745,22.278808487673505,1.0,0.3466366056100176,0.34663660561036425,0.6163138279870309,0.6163138279868203,1.0,1
59,3.631926927214855,21.38408510127355,1.0,0.5258125985574595,0.52581259855751,0.47277971517910905,0.4727797151786362,1.0,1
60,3.6494452899329586,20.599545738284185,1.0,0.5855643274031361,0.5855643274032949,0.3963761520580094,0.39637615205761306,1.0,1
61,3.6613214076411484,19.808262663203443,1.0,0.6199931718435694,0.6199931718437862,0.34001197284577994,0.3400119728454399,1.0,1
62,3.667758915890993,19.124212258490825,1.0,0.6345581827941634,0.6345581827944041,0.3119865417239449,0.31198654172363294,1.0,1
63,3.662332219587299,18.64678719968319,1.0,0.6302165620583511,0.6302165620585847,0.3206661350740583,0.32066613507373753,1.0,1
64,3.6458037851365175,18.527370844080693,1.0,0.6093187308109184,0.6093187308111173,0.3587901163641189,0.35879011636376007,1.0,1
65,3.622602302030662,18.876104857979495,1.0,0.5578637542998414,0.5578637542999512,0.4344969850108981,0.4344969850104637,1.0,1
66,3.6133149490959275,18.881091498720266,1.0,0.5329713120116076,0.5329713120116714,0.46469467451537666,0.4646946745149119,1.0,1
67,3.603946220609489,18.939329870777044,1.0,0.5279877588514778,0.5279877588515322,0.4703493149852203,0.4703493149847499,1.0,1
68,3.599497339164374,18.976233823934027,1.0,0.5245409776580582,0.5245409776581061,0.47419016064168107,0.47419016064120695,1.0,1
69,3.595242895962507,19.015823525002503,1.0,0.5180643559710497,0.5180643559710852,0.48125757898865135,0.4812575789881701,1.0,1
70,3.5916043705092124,19.0314895549023,1.0,0.502634938271766,0.5026349382717712,0.49735060476266646,0.4973506047621691,1.0,1
71,3.589368859509582,19.056270053341585,1.0,0.4892427810098466,0.48924278101033586,0.5105301378402528,0.5105301378402319,0.5,1
72,3.5884722337502666,19.078082513812294,1.0,0.47369793472165334,0.473697934722127,0.5249855360874137,0.5249855360873649,0.5,1
73,3.5874873851803297,19.095204991577337,1.0,0.4556728668494979,0.4556728668499537,0.5407049203262695,0.5407049203261911,0.5,1
74,3.586127373890828,19.10987938606656,1.0,0.4410050535293633,0.44100505352980435,0.5527333295681607,0.5527333295680602,0.5,1
