frame,detected,center_x,center_y,angle_deg,handle_x,handle_y,head_x,head_y,quality
53,1,796.2021505376345,677.5397849462365,-53.371014823589526,781.1670510162455,697.7631818513544,811.2372500590234,657.3163880411187,56.952940373426124
54,1,750.4769001490313,796.7883755588674,24.12130840696367,734.7787653587075,789.7592529888146,766.1750349393551,803.8174981289202,2.8143391809785205
55,1,750.4391143911439,797.0867158671587,22.193887096229016,735.6245401273611,791.042843815,765.2536886549267,803.1305879193173,2.451645573306552
56,1,751.2708333333334,798.7520833333333,26.69388542893409,738.4055949195109,792.2832626869165,764.1360717471558,805.2209039797501,1.6915255611057392
57,1,750.9243379571249,795.843631778058,15.569860458564026,733.1995462971581,790.904830242182,768.6491296170916,800.782433313934,2.1583912758682438
58,1,751.3649025069637,797.3607242339833,13.243828140712798,734.232993125812,793.328642767048,768.4968118881155,801.3928057009186,2.1566504241866746
59,1,753.8743362831858,797.8672566371681,14.83985259943418,737.6346922674389,793.5644712321289,770.1139802989327,802.1700420422073,2.2579142708611384
60,1,789.8438661710037,648.6282527881041,-24.682317876104882,774.578763012738,655.6437089790803,805.1089693292694,641.6127965971278,19.22380545988904
61,1,785.495,654.2225,-21.883064221464675,762.4819277177398,663.4657950905761,808.5080722822602,644.9792049094239,44.730821028737395
62,1,787.4331797235023,643.2258064516129,-19.27769878702023,770.8200200646704,649.0363938702961,804.0463393823343,637.4152190329297,15.048516560299772
63,1,784.3951048951049,643.2797202797203,-9.375842805327741,763.8729734298399,646.6682480016646,804.9172363603698,639.8911925577761,12.077651696586388
64,1,783.498127340824,639.3445692883895,-2.597262086528117,765.9162071810996,640.1421177176883,801.0800475005484,638.5470208590907,8.2967348270477
65,1,781.9557823129252,644.295918367347,-5.815641859416025,761.6607794158718,646.3630074821648,802.2507852099785,642.2288292525292,15.290959613021343
66,1,781.2318339100347,644.7681660899653,-4.118662574437382,759.2886501941596,646.3482573567452,803.1750176259097,643.1880748231855,18.61359177521039
67,1,779.9665653495441,645.2218844984802,-2.3153637493207935,754.3874652424975,646.2561174092334,805.5456654565908,644.187651587727,20.75218651114245
68,1,779.285294117647,647.1970588235295,-3.5387989457763505,752.1371582786829,648.8759633679128,806.4334299566111,645.5181542791461,23.656014395210168
69,1,778.6349206349206,647.8857142857142,-2.09765929398881,751.0534156722691,648.8959538588995,806.2164255975721,646.875474712529,31.111283723733884
70,1,778.0634441087614,648.785498489426,-0.20987714890199424,749.6636346429459,648.8895287993349,806.4632535745768,648.6814681795171,31.09409134757987
71,0,,,,,,,,
72,0,,,,,,,,
73,0,,,,,,,,
74,0,,,,,,,,
75,0,,,,,,,,
76,0,,,,,,,,
77,0,,,,,,,,
78,1,776.5070821529745,654.3541076487252,9.221224491522996,746.8947730110912,649.5467021857406,806.1193912948578,659.1615131117097,34.18731513381052
79,1,777.0157068062828,657.1701570680628,10.151650093654874,747.0916281345403,651.8120309359742,806.9397854780252,662.5282832001515,36.567093190985204
80,1,777.6134453781513,657.7899159663865,9.467197561493164,748.4165994089525,652.9212215365745,806.81029134735,662.6586103961985,37.51317684933171
81,1,777.5041551246537,656.4875346260387,10.765094446242236,748.032118396,650.8840490085963,806.9761918533075,662.0910202434811,28.859433404860226
82,1,777.008875739645,652.0118343195267,15.259559773283483,748.8383677656188,644.3266225146815,805.1793837136711,659.6970461243718,16.308161018178723
83,1,777.3274111675127,655.5253807106599,10.332555595502257,747.4203993558627,650.0727992580053,807.2344229791626,660.9779621633145,14.036745779364486
84,1,728.0181818181818,724.275935828877,-0.21571050926897686,704.8183462382484,724.3632803424726,751.2180173981152,724.1885913152813,11.663464162248104
85,1,740.3941176470588,734.2294117647059,2.8109673499120946,710.8297333024831,732.7777994451769,769.9585019916345,735.6810240842349,3.1943697771008916
86,1,720.4968036529681,714.0958904109589,-0.47353589991541156,696.897609662336,714.2909365401484,744.0959976436002,713.9008442817693,8.58972964487753
87,1,719.571641051066,716.3356470004958,-0.28981350687316937,689.5720248310429,716.4873923507672,749.571257271089,716.1839016502244,7.108420818288734
88,1,716.598717948718,706.0570512820512,-0.769330880822598,693.0008453849337,706.3739273830655,740.1965905125023,705.740175181037,4.3933162650841995
89,1,715.1493796526055,703.6521091811414,-0.7719765694025242,689.5517032793847,703.9970211870964,740.7470560258263,703.3071971751865,3.743407492184854
90,1,715.6433706070287,711.3482428115016,-0.9153084869401119,689.6466882055577,711.7635789609592,741.6400530084998,710.9329066620439,2.6235015262002905
91,1,714.5884194053208,706.1885758998435,-0.6952601270880089,689.3902747072584,706.4943597704341,739.7865641033832,705.8827920292529,2.243598101819624
92,1,719.4006734006734,710.8686868686868,31.272066458730407,699.2294699432941,698.6178684845539,739.5718768580527,723.1195052528197,22.895953792608736
93,1,741.1540785498489,734.1933534743202,-129.55844836212714,753.3818872418235,748.9960793919502,728.9262698578743,719.3906275566903,46.64035726406048
94,1,749.1809744779582,734.0881670533643,-114.1365749382297,756.70497529106,750.879516366759,741.6569736648564,717.2968177399695,14.051747733415306
95,0,,,,,,,,
96,1,745.8785425101214,722.7004048582996,20.922381489042834,734.296135887111,718.2723288856854,757.4609491331319,727.1284808309139,1.454107131045323
97,1,751.4084084084084,736.8731231231232,-0.5757762604106883,733.4093172770077,737.0540055256298,769.407499539809,736.6922407206165,2.2571729297937972
98,1,747.0280373831775,717.7196261682243,15.011245177268515,721.5289371067588,710.8817986555458,772.5271376595963,724.5574536809028,25.854767744478185
99,0,,,,,,,,
100,0,,,,,,,,
101,0,,,,,,,,
102,0,,,,,,,,
103,1,765.1090909090909,614.0136363636364,-111.28427448349382,772.0786045651516,631.9040214740241,758.1395772530302,596.1232512532486,2.123626133186607
104,0,,,,,,,,
105,0,,,,,,,,
106,1,798.7658536585366,506.3219512195122,-57.09524830910814,792.0296270667357,516.7326789224114,805.5020802503375,495.9112235166129,24.839541409633945
107,1,842.5394736842105,585.7450657894736,-45.70400011789387,829.9688979696106,598.628412645144,855.1100493988105,572.8617189338033,6.56427458175751
108,1,856.5417348608838,597.1636661211129,-70.25901047972832,849.5161458572858,616.7412323424929,863.5673238644819,577.5860998997329,7.399581172546338
109,1,854.9936305732484,616.875796178344,-91.88887957699814,855.8769906388093,643.6612339196722,854.1102705076876,590.0903584370158,5.782929147805621
110,0,,,,,,,,
111,0,,,,,,,,
112,0,,,,,,,,
113,1,897.0819672131148,685.2786885245902,-0.35052884806538276,871.8824388105744,685.4328582024165,922.2814956156552,685.1245188467639,39.576536411599996
114,0,,,,,,,,
115,0,,,,,,,,
116,0,,,,,,,,
117,1,885.7951807228916,737.3333333333334,7.780961352948633,852.50453987745,732.7843518979104,919.0858215683331,741.8823147687564,132.92261327534263
118,1,881.2352941176471,751.2352941176471,-4.35005442174463,856.9055844052954,753.0860305420738,905.5650038299988,749.3845576932204,10.50080595480147
119,1,874.3275362318841,741.4260869565218,16.857749917626318,837.9604840657913,730.4062177763233,910.6945883979769,752.4459561367203,81.03115781129921
120,1,874.5948905109489,761.2007299270073,15.33486331315575,842.9626794549467,752.5264447282983,906.227101566951,769.8750151257162,31.543464435019857
121,1,878.9881818181818,793.9918181818182,-2.050969289197494,859.000994105678,794.7075886374364,898.9753695306856,793.2760477262,4.0164682262346565
122,1,877.8809349890431,791.5931336742148,2.312986310654806,853.1011402081579,790.5922487571484,902.6607297699284,792.5940185912812,5.47633486288608
123,1,875.460729746444,793.6122448979592,1.0112015544622643,849.064841175972,793.1463408571677,901.8566183169161,794.0781489387506,6.399163644049438
124,1,871.0880952380952,789.4517857142857,-0.666300257425075,841.8900696722665,789.791348752928,900.286120803924,789.1122226756435,8.705781825361473
125,1,853.6965098634295,784.9301972685888,3.0528891533957037,816.1498718395626,782.9277055445821,891.2431478872963,786.9326889925956,21.85610127657785
126,1,851.6823979591836,782.8711734693877,3.8028239473295913,813.3669470551249,780.3243672304554,889.9978488632423,785.41797970832,23.96886563743052
127,1,851.0099857346647,775.7617689015692,2.185824920552652,815.8355978515641,774.4192201876733,886.1843736177653,777.1043176154651,24.337546731963382
128,1,850.6712328767123,782.4458281444582,1.947412027011997,812.6931802334103,781.1545042414101,888.6492855200144,783.7371520475064,31.004994597863867
129,1,850.4091503267974,773.9019607843137,0.7962681828445861,815.6125109182517,773.4183432994765,885.2057897353432,774.3855782691509,26.380488415547667
130,1,850.4137426900585,769.766081871345,-1.0036618111274365,815.6190817854167,770.3756493663752,885.2084035947003,769.1565143763148,19.433246606884197
131,1,853.5649122807017,765.9719298245614,8.475816216204823,829.4314050878968,762.3755663036092,877.6984194735066,769.5682933455136,12.188706005262304
132,0,,,,,,,,
133,0,,,,,,,,
134,0,,,,,,,,
135,1,851.1049957662998,726.1651143099068,3.2168142450019523,827.9415510878067,724.8632577024456,874.2684404447929,727.466970917368,5.666302888399942
136,0,,,,,,,,
137,1,845.0993377483444,720.5562913907285,9.601044088114595,826.5626693874973,717.4207011624031,863.6360061091915,723.6918816190538,6.273870346952953
138,0,,,,,,,,
139,0,,,,,,,,
140,1,846.5408805031446,728.5932914046122,2.6053609442852594,834.5532846514,728.0478139117376,858.5284763548893,729.1387688974867,2.1673541436306967
141,1,1154.8630952380952,115.61309523809524,-86.36640290825844,1154.2293379232547,125.59299261561803,1155.4968525529357,105.63319786057245,3.846131259672496
142,0,,,,,,,,
143,0,,,,,,,,
144,0,,,,,,,,
145,0,,,,,,,,
146,0,,,,,,,,
147,0,,,,,,,,
148,0,,,,,,,,
149,0,,,,,,,,
150,0,,,,,,,,
151,1,1179.1666666666667,147.67543859649123,-90.75864821704837,1179.283183263366,156.47466719237926,1179.0501500699675,138.8762100006032,6.708375375520935
152,0,,,,,,,,
153,1,1178.4224137931035,147.52586206896552,-87.78024759187947,1178.0815695772958,156.31925875173553,1178.7632580089112,138.7324653861955,8.13481720635219
154,1,1178.3418803418804,147.56410256410257,-87.15605855458442,1177.9052616305207,156.35326430461518,1178.77849905324,138.77494082358996,8.05425272957979
155,1,1178.2711864406779,147.5593220338983,-87.28234340431146,1177.853940846242,156.34942477015366,1178.6884320351137,138.76921929764293,8.173925515371929
156,0,,,,,,,,
157,0,,,,,,,,
158,1,1180.3970588235295,114.41911764705883,-27.93887730856361,1173.6828546394777,117.97994089103796,1187.1112630075813,110.8582944030797,2.7721698942336532
159,1,1182.1387283236995,115.76300578034682,-52.66491953025755,1177.286925676018,122.12382420787257,1186.990530971381,109.40218735282106,1.607759353965526
160,1,1184.7586206896551,116.77011494252874,-51.63630363547232,1180.0416723800597,122.72917515741207,1189.4755689992505,110.8110547276454,1.3074853108821736
161,0,,,,,,,,
162,0,,,,,,,,
163,0,,,,,,,,
164,0,,,,,,,,
165,0,,,,,,,,
166,0,,,,,,,,
167,1,791.6136783733826,834.7541589648798,-2.9485524960137193,762.4523354912261,836.2561847001115,820.7750212555392,833.2521332296482,7.318802236669178
168,1,789.3711151736746,834.8848263254114,-6.109323348171751,759.1437677375169,838.1201728252172,819.5984626098324,831.6494798256056,8.323436347642902
169,0,,,,,,,,
170,1,1200.0721649484535,124.31443298969072,-86.23526439104808,1199.3105117173131,135.8894009963633,1200.833818179594,112.73946498301814,1.7807203352707872
171,0,,,,,,,,
172,0,,,,,,,,
173,0,,,,,,,,
174,0,,,,,,,,
175,0,,,,,,,,
176,0,,,,,,,,
177,0,,,,,,,,
