frame,time_sec,detected,x1,y1,x2,y2,conf
21,0.350350,1,773.121826171875,756.6055297851562,812.4385986328125,791.4977416992188,0.6565346121788025
22,0.367033,1,780.6806640625,757.84228515625,810.510009765625,790.3114624023438,0.6134245991706848
23,0.383717,1,775.8253784179688,760.4723510742188,809.8339233398438,791.5647583007812,0.4304359555244446
24,0.400400,1,768.8280029296875,762.2109375,808.6878662109375,794.0042724609375,0.4119875431060791
25,0.417083,1,767.6266479492188,762.9820556640625,807.5637817382812,795.2578735351562,0.5384660959243774
26,0.433767,1,766.54931640625,766.71826171875,806.3222045898438,796.090576171875,0.588532030582428
27,0.450450,1,767.9290161132812,766.7391357421875,805.4559326171875,796.7206420898438,0.5847002267837524
28,0.467133,1,763.368408203125,769.6484985351562,803.7675170898438,797.2765502929688,0.4056267738342285
29,0.483817,1,771.0289306640625,773.4561767578125,803.1309814453125,799.433349609375,0.3235681354999542
30,0.500500,1,760.8858642578125,774.6119384765625,802.5533447265625,802.415771484375,0.3606405556201935
31,0.517183,1,754.3670043945312,771.5491333007812,798.1029052734375,805.13525390625,0.46401315927505493
32,0.533867,1,753.0073852539062,766.8555908203125,797.8305053710938,806.15771484375,0.4733273983001709
33,0.550550,1,751.1885375976562,764.824951171875,790.9868774414062,809.7760620117188,0.4464215338230133
34,0.567233,1,750.0623779296875,785.021728515625,800.3139038085938,861.490234375,0.3289661407470703
35,0.583917,1,758.3158569335938,787.89990234375,801.2975463867188,860.9342651367188,0.3706820607185364
36,0.600600,1,756.7659301757812,788.7132568359375,801.771240234375,860.5215454101562,0.3234925866127014
37,0.617283,1,761.2274780273438,792.3551025390625,802.4322509765625,860.424560546875,0.45867666602134705
38,0.633967,1,762.5304565429688,794.0834350585938,801.5809936523438,860.9678344726562,0.40569838881492615
39,0.650650,1,764.2194213867188,769.6348266601562,802.5822143554688,860.7947998046875,0.45667827129364014
40,0.667333,1,746.6596069335938,787.95703125,800.3882446289062,865.7830810546875,0.438606858253479
41,0.684017,1,746.711181640625,783.3427734375,794.3417358398438,865.3130493164062,0.47836998105049133
42,0.700700,1,746.1205444335938,781.58642578125,789.041015625,865.5010986328125,0.5036529898643494
43,0.717383,1,745.0424194335938,779.8793334960938,789.5147094726562,864.9730224609375,0.430067777633667
44,0.734067,1,750.907470703125,786.955078125,803.1751098632812,861.9169921875,0.300159752368927
45,0.750750,1,752.5335693359375,788.2405395507812,803.8226318359375,861.7791748046875,0.37222906947135925
46,0.767433,1,759.0706176757812,708.3075561523438,827.4404296875,739.064208984375,0.3795832693576813
47,0.784117,1,756.4246826171875,785.4446411132812,804.2937622070312,862.4813232421875,0.1524902582168579
48,0.800800,1,756.3971557617188,785.6990356445312,804.8490600585938,862.8624267578125,0.24718555808067322
49,0.817483,1,762.97705078125,794.6656494140625,805.6034545898438,863.2899169921875,0.21244320273399353
50,0.834167,1,728.430419921875,778.7979736328125,762.5323486328125,821.86328125,0.2391834408044815
51,0.850850,1,729.0027465820312,775.7966918945312,763.6812133789062,821.7193603515625,0.37663784623146057
52,0.867533,1,776.0889282226562,658.504638671875,831.983154296875,696.9115600585938,0.5432808995246887
53,0.884217,1,768.9010620117188,648.7256469726562,831.0078735351562,697.8081665039062,0.35085365176200867
54,0.900900,1,734.3370971679688,777.8448486328125,769.7578735351562,820.5675659179688,0.36169812083244324
55,0.917583,1,735.3638305664062,779.0138549804688,768.7613525390625,819.06982421875,0.271058589220047
56,0.934267,1,736.8615112304688,782.6864013671875,768.36279296875,818.6473999023438,0.17009757459163666
57,0.950950,1,736.5223388671875,775.4297485351562,770.6563720703125,821.3331909179688,0.4379662573337555
58,0.967633,1,738.8666381835938,777.3848876953125,770.9002685546875,821.8516845703125,0.40041136741638184
59,0.984317,1,741.4170532226562,778.5571899414062,772.0104370117188,820.667236328125,0.22737306356430054
60,1.001000,1,778.9061889648438,627.5076293945312,805.437255859375,669.00244140625,0.2425442636013031
61,1.017683,1,772.0503540039062,625.5281982421875,800.24072265625,687.186767578125,0.1608497053384781
62,1.034367,1,776.8374633789062,624.532470703125,799.2433471679688,668.384521484375,0.1963804066181183
63,1.051050,1,773.8006591796875,623.7301025390625,797.3114013671875,675.8347778320312,0.163849338889122
64,1.067733,1,772.8197021484375,622.5745239257812,794.83740234375,666.7132568359375,0.2163841873407364
